_id,LOC_ID,LOC_NAME,AUSPICE,ADDRESS,PostalCode,bldg_type,BLDGNAME,IGSPACE,TGSPACE,PGSPACE,KGSPACE,SGSPACE,TOTSPACE,subsidy,cwelcc_flag,Longitude,Latitude
1,1013,Lakeshore Community Child Care Centre,Non Profit Agency,101 SEVENTH ST,M8V,Public Elementary School,Seventh Street Public School,0,20,32,52,60,164,Y,Y,-79.50419384,43.59992437
2,1014,Alternative Primary School Parent Group,Non Profit Agency,1100 SPADINA RD,M5N,Public Elementary School,North Preparatory Public School,0,0,12,26,45,83,Y,Y,-79.42037489,43.705765578
3,1015,Cardinal Leger Child Care Centre (Scarborough),Non Profit Agency,600 MORRISH RD,M1C,Catholic Elementary School,Cardinal Leger Catholic School,0,10,16,26,50,102,Y,Y,-79.175461625,43.793287951
4,1016,George Brown - Richmond Adelaide Childcare Centre,Non Profit Agency,130 ADELAIDE ST W,M5H,Other,,10,15,40,0,0,65,Y,Y,-79.383809196,43.64968241
5,1017,Woodland Nursery School (Warden Woods Community Centre),Non Profit Agency,1 FIRVALLEY CRT,M1L,High Rise Apartment,,0,10,16,0,0,26,Y,Y,-79.2810286285,43.7029523574
6,1021,Centennial College Progress Campus Child Care Centre,Non Profit Agency,941 PROGRESS AVE,M1G,Community College/University,Centennial College Of Applied Arts & Technology,10,20,32,0,0,62,Y,Y,-79.227026428,43.785264658
7,1029,Air-O-Down Child Care Centre,Non Profit Agency,7 HAWKSDALE RD,M3K,Public High School,Downsview Secondary School,10,15,24,0,0,49,Y,Y,-79.479517489,43.730867839
8,1031,Cedarbrae Day Nurseries (20 Greencrest),Commercial Agency,20 GREENCREST CIRCT,M1G,High Rise Apartment,Greencrest Property,0,0,16,0,30,46,Y,Y,-79.2234312468,43.7583695279
9,1037,Tiago Avenue Community Child Care,Non Profit Agency,145 TIAGO AVE,M4B,Public Elementary School,Victoria Park Public School,0,0,21,0,30,51,Y,Y,-79.2981539649,43.7126977771
10,1041,Ledbury Park Child Care Program,Non Profit Agency,95 FALKIRK ST,M5M,Public Elementary School,Ledbury Park Public School,0,0,24,39,90,153,Y,Y,-79.427182305,43.727425311
11,1044,Alderwood Action After School,Non Profit Agency,544 HORNER AVE,M8W,Public Elementary School,Sir Adam Beck School,0,15,32,52,90,189,Y,Y,-79.548275664,43.601781231
12,1045,Children's Village Day Care Centre #1,Commercial Agency,1050 MARKHAM RD,M1H,High Rise Apartment,,10,10,32,12,30,94,Y,Y,-79.231567533,43.774364871
13,1046,Ferncliff Daycare And After School Group,Non Profit Agency,128 FERN AVE,M6R,Public Elementary School,Fern Avenue Junior And Senior Public School,0,0,32,52,100,184,Y,Y,-79.446112847,43.645180313
14,1055,Balmy Beach Community Day Care Centre,Non Profit Agency,14 PINE AVE,M4E,Public Elementary School,Balmy Beach Public School,0,0,16,52,75,143,Y,Y,-79.289826943,43.676435913
15,1060,Braeburn Woods Day Care Centre,Non Profit Agency,15 TANDRIDGE CRES,M9W,Public Elementary School,Braeburn Junior School,0,10,16,25,30,81,Y,Y,-79.548863811,43.728029826
16,1065,Network Child Care Services - Child's Nest Early Learning Centre,Non Profit Agency,121 COSBURN AVE,M4J,House,,20,20,0,0,0,40,Y,Y,-79.3473897066,43.6894844926
17,1067,Martingrove Child Care Centre,Commercial Agency,256 JOHN GARLAND BLVD,M9V,House,,0,15,24,10,15,64,Y,Y,-79.590958081,43.734260972
18,1070,Discovery Place Child Care Centre Ltd.,Commercial Agency,22 TUXEDO CRT,M1G,Purpose Built,,10,20,48,20,45,143,Y,Y,-79.2296426663,43.7805430702
19,1072,Carefree Preschool,Commercial Agency,370 DIXON RD,M9R,High Rise Apartment,,20,15,48,0,0,83,N,Y,-79.5561577436,43.6959151803
20,1079,East Scarb. Boys' & Girls' Club - Eastside Child Care Centre,Non Profit Agency,20 WALDOCK ST,M1E,Public Elementary School,Eastview Public School,0,15,24,26,45,110,Y,Y,-79.191280443,43.758963359
21,1082,Macaulay - Regent Street Child Care Centre,Non Profit Agency,48 REGENT ST,M6N,Synagogue,,10,10,24,0,0,44,Y,Y,-79.4700872989,43.6810721434
22,1083,Lori Gardens Centre For Early Learning,Commercial Agency,2405 FINCH AVE W,M9M,High Rise Apartment,,10,15,28,22,25,100,Y,Y,-79.544032103,43.750621289
23,1086,Network - Child's Nest Early Years And Child Care Centre - 123 Cosburn,Non Profit Agency,123 COSBURN AVE,M4J,House,,0,10,48,0,0,58,Y,Y,-79.3472700626,43.6894969221
24,1091,Eastside Club Day Care - 100 Galloway Road,Non Profit Agency,100 GALLOWAY RD,M1E,Community/Recreation Centre,,10,15,24,0,0,49,Y,Y,-79.193338505,43.757428446
25,1093,Martin Luther Child Care - Superior,Non Profit Agency,5 SUPERIOR AVE,M8V,House,,0,10,16,0,0,26,Y,Y,-79.4876370893,43.6149559543
